id,name,minimum_nights
0a814910-e517-4809-b0a5-184f9d37f5e4,Clean & quiet apt home by the park,1
2d32f34a-ce47-4398-a6ad-f42f88514486,Skylit Midtown Castle,1
3f73b4b0-1730-4c93-a349-45545039d6b6,THE VILLAGE OF HARLEM....NEW YORK !,3
6acf8c89-4a6e-4557-8c56-9cef4dd2fbfc,Cozy Entire Floor of Brownstone,1
ac863aac-c5c7-417b-9c72-f05a56a0a5b5,Entire Apt: Spacious Studio/Loft by central park,10
3a6ce7aa-d0aa-4aad-ae7c-4eece5900140,Large Cozy 1 BR Apartment In Midtown East,3
32feb163-f255-43c7-905a-0722687603e3,BlissArtsSpace!,45
8873868d-8ee4-4ac8-aa28-64c3b8b23384,Large Furnished Room Near B'way ,2
398a6841-6368-43d6-9fe3-ee5951be2322,Cozy Clean Guest Room - Family Apt,2
350cf684-9ea5-44b2-bcad-3402a3612421,Cute & Cozy Lower East Side 1 bdrm,1
eaf4717a-609e-4d07-8de9-d592753f70ae,Beautiful 1br on Upper West Side,5
be53aa17-148c-4b17-8761-824afd24e174,Central Manhattan/near Broadway,2
5e728421-934b-47e2-9fec-2649cc05ed10,"Lovely Room 1, Garden, Best Area, Legal rental",4
9a89d37b-6bb0-46c8-bd67-bcd41ea88502,Wonderful Guest Bedroom in Manhattan for SINGLES,2
513f2998-64c7-41fe-a5b4-51ae8c4eb360,West Village Nest - Superhost,90
84cda04b-f112-4c8c-be40-a6b57c3a4bc6,Only 2 stops to Manhattan studio,2
e18d1363-ecb3-4eed-8f87-9f17473af8c8,Perfect for Your Parents + Garden,2
516553e2-c29a-4d9a-9b15-64591d620cae,Chelsea Perfect,1
08846cb8-bade-4aa7-bf0a-4b77e8b0b41c,Hip Historic Brownstone Apartment with Backyard,3
49ae5611-a9bb-426b-9701-a7eaf72123ad,Huge 2 BR Upper East  Cental Park,7
c5e2eb71-5627-4bc1-a9c1-c8402fbb33e8,Sweet and Spacious Brooklyn Loft,3
a627157a-873c-4f94-8063-498ba75aed43,CBG CtyBGd HelpsHaiti rm#1:1-4,2
50666616-d91b-48dc-ab59-2ad80a84888a,CBG Helps Haiti Room#2.5,1
17ff1504-f510-4efe-ad5e-1df20784eb90,CBG Helps Haiti Rm #2,2
dcb126f2-4c4a-4a11-a9e9-8e1b0e93cc72,"MAISON DES SIRENES1,bohemian apartment",2
47901939-46da-442f-b608-2def5ddd6ecc,Sunny Bedroom Across Prospect Park,1
8ae5995c-331d-4272-aa95-09de85e1183c,Magnifique Suite au N de Manhattan - vue Cloitres,4
548d13a5-d81e-4d33-9b4b-1440c63c3a08,Midtown Pied-a-terre,10
07613ed4-fd12-4ec3-88e1-aab5fa577cf4,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",3
d7fc6370-872a-4178-9c09-615664202915,Modern 1 BR / NYC / EAST VILLAGE,14
efb80c60-fa26-4486-96c5-34e1fa7fb2ad,front room/double bed,3
dff4c482-2bed-446c-89e6-c2486cb5c0e8,Spacious 1 bedroom in luxe building,2
5d97f25f-ad4c-494d-925f-53b4a0e94a11,Loft in Williamsburg Area w/ Roof,4
8482d3a1-2809-47ec-b15f-12400d941064,back room/bunk beds,3
5eea5757-3382-4672-b53f-502180ecd01b,Large B&B Style rooms,1
ea55605a-898f-422d-93a3-94ba9faef8cf,"Lovely room 2 & garden; Best area, Legal rental",4
aee66367-8739-43f3-80e2-5745da7fcfd8,Clean and Quiet in Brooklyn,60
cdd06fe7-0ceb-49aa-acbe-bab986049d21,Cute apt in artist's home,2
80342fd3-7739-4535-b8e5-95d5914bd30d,Country space in the city,1
4b0318ef-fb7c-445a-a1cc-f29fe6d439da,LowerEastSide apt share shortterm 1,1
82759fac-6e41-43d1-a03e-50899e312763,ENJOY Downtown NYC!,2
46108fbd-af83-4363-b393-61e8e60005f3,Beautiful Sunny Park Slope Brooklyn,3
0f710b01-46a6-44e6-bc81-1ec73eff2dd9,1bdr w private bath. in lofty apt,7
5732aeff-23f3-4aec-a03f-8bd1ec0073e8,West Side Retreat,4
229aa256-b37f-4635-b728-d4a24c69c83a,BEST BET IN HARLEM,7
37cd5db7-b541-4b2a-b5a3-58ba69e00271,Entire apartment in central Brooklyn neighborhood.,29
a433d38c-c865-4858-a1b1-a9deab843f00,"1 Stop fr. Manhattan! Private Suite,Landmark Block",3
b87a686c-13a8-4db0-97ff-ae9d028276a7,Charming Brownstone 3 - Near PRATT,7
a0b0fc60-86dc-4412-956b-784f40419a6c,bright and stylish duplex,3
9464dae4-44b0-4c22-874f-5b2ad86cf13a,Fort Greene brownstone ,3
99fea270-1775-4750-94ec-a640d9332f6b,Blue Room for 2 in Brownstone for $1350 monthly,1
7229bc32-d8e1-4a68-a2d5-0e1bbafec534,Cozy 1BD on Central Park West in New York City,2
3599f7cc-9244-44ce-bb02-75b320379341,* ORIGINAL BROOKLYN LOFT *,3
569ab465-be8b-4aef-a165-fb885572f434,Greenpoint Place...Has It All! ,2
c8a805c8-e030-404b-9ae0-f398a12e22ab,Beautiful Apartment in Manhattan!!!,7
2fce5f2d-af9f-4e4d-8b21-93163a81b175,Williamsburg 1 bedroom Apartment,30
5f4b51c5-4289-4680-a428-4a040bd02a2c,"Great Location, Manhattan Bedroom!",5
d5e67a5f-b3a4-46c8-b0df-c9a95c1f2899,Best Location in NYC! TIMES SQUARE!,2
481aea52-29d6-4dc5-9bf4-0b4f50f5b02b,Room in Greenpoint Loft w/ Roof,4
21e97067-f7e6-46b0-96cd-c188cd0d6841,**Bright Nolita Apt w Doorman/Elevators/Gym**,30
88d67eed-1824-44f7-9a4c-784cc189ac84,"Very, very cozy place",2
0d2d0efb-464f-4c23-8af8-c4a6ce90c3bd,Sunny & Spacious Chelsea Apartment,180
bb653c08-ce8b-4690-a495-f036f9451eae,2 bedroom - Upper East Side-great for kids,2
4fc9175f-5a31-4bf9-a617-a735a29aa43d,Comfortable 4-bedroom apt in family house.,30
5b76e49b-048f-4d19-9ade-8801f05424cf,Double Room w Private Deck Clinton Hill Best Area,7
eb1c7765-8bce-495f-8be6-ff38a23ddbba,Your Heaven in Hells Kitchen,30
a79b2bcf-1054-42ee-9ef0-91ad590f588e,Light-filled 2B duplex in the heart of Park Slope!,3
cf250345-4a73-45e4-b7ab-019b2a8b117a,"Sunny, Modern room in East Village!",1
ba82869d-e00a-4fb6-bb26-978aa2f822be,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,1
e4412e7c-ab4d-4eb5-babb-4ab2ce8cc05c,Large Room in Amazing East Village Apt,1
77483d0a-c93c-4f7e-a2ce-612734786d50,SpaHa Loft: Enormous and Bright,4
38f81267-7b76-4580-87b9-bc43ae523641,Lovely EV Artist's Home,9
b9210d36-e2c7-45dc-a7e0-189de6e7bdcb,Cool Room in Hell's Kitchen,7
8939d53b-13e2-4fca-847c-6f1f1e0bf563,"HARLEM, NEW YORK WELCOMES YOU!!",2
3eecf120-b60d-4e5d-a727-9c6a5027fcfe,BLUE TRIM GUEST HOUSE,2
42635d91-b6f6-47f7-a8c2-f0d55b2f4020,Charming East Village One Bedroom Flat,5
761170b7-8779-424f-ba2e-8a2cacd205b1,Manhattan Room,1
2222e5b0-2c4b-42f2-a27a-661ca6d7c2a2,Little King of Queens,30
a339fc99-5125-4283-a5f2-c4ab1c960ecb,Fort Greene Retreat on the Park,3
423fd156-506e-43a7-b971-021e7322d548,Beautiful Meatpacking District Loft,3
8d0cb0ec-b4d1-465f-afeb-cb4db9e2dbac,Cozy 2 BR in Williamsburg ,3
9ef81114-ffc9-4b53-858f-f000f0a54d56,Spacious luminous apt Upper West NYC,31
88da30f8-3072-470e-996b-8b73cd7cb545,Entire 2 Bedroom - Large & Sunny,5
361e5cde-8aec-4c94-97f4-55551b802bc6,"Sunny, Spacious Top Floor Haven",6
46ed3aac-b6c7-4e08-a30e-69ee06989cbb,Private room Great Deal at Lower East Side,30
57ca696e-b7d9-4a38-bf7f-645f51be90cd,perfect for a family or small group,1
2c571305-44bb-4d1f-bf5c-e8a7cd2069d2,2 bedroom Williamsburg Apt - Bedford L stop,3
c84a36d5-7413-4f18-abe5-561e23fc4a04,Oh glorious spring!,3
35fb3581-75af-48b5-811d-38ecc956894d,Great Location for NYC,1
9f585455-2412-464b-a2cc-a223bf59e783,Cozy Bedroom in Williamsburg 3 BR,3
a6d799fb-146f-41ce-afd6-fde9cbbf88ea,Sunny room+Pvte office in huge loft,4
9d617002-02f6-4c64-8d99-4e10228e2eb5,Spacious Prospect Heights Apartment,4
e2da2be3-c72a-40a5-b1f0-2491bc06264f,"Large Parlor Room, Landmark Home 1 block to PRATT",7
3c1aa6a5-ea3b-4b8a-8c70-6a05ac43e765,2-bed brownstone duplex + garden,7
cd273367-b5f2-4e3d-8b5d-05dc31a3ae07,Charming 1 bed GR8 WBurg LOCATION!,5
51ebdfed-e9af-4b86-983b-a7134a66b652,Sunny Apartment in Artist Home,3
f2828b22-e63a-417a-9757-129611643108,Light-filled classic Central Park ,3
7add989f-115c-4e20-8282-b551900d935f,"Upper Manhattan, New York",1
85fdc75e-df0a-4205-b3b5-10a39b0847f3,COZY QUIET room 4 DOOGLERS!,30
c36d75d6-3350-4cd2-b57b-022351514cf1,The Stuydio Modern and Light Filled,7
a61c4455-d914-48fc-bb61-100f29a37453,loft bed - near transportation-15min to times sq,3
d88894a6-a3a2-4ed2-b86b-c262f18518bf,House On Henry (3rd FLR Suite),2
7eae6920-41b3-44bd-b0b7-6d0ee92ff2e1,Monkey Retreat Manhattan,2
01feba6b-4e5b-4bbb-a666-1bb437a3c6b7,2000 SF 3br 2bath West Village private  townhouse,4
238d19fd-9f7a-40b9-937c-cc53faae95cb,"Williamsburg—Steps To Subway, Private Bath&Balcony",3
3d0d17d9-a717-4ba9-b965-c5169da8df2e,Beautiful Duplex Apartment,30
97c6a307-fbb3-4bb9-aac1-f04c96d7b88e,Large 2 Bedroom Great for Groups!,90
b6daab7b-39c8-4383-a73a-3074a40f405f,"Modern Brooklyn Apt., August sublet",30
b9897635-58b4-4bba-bc9a-a09dc5b813d0,"1,800 sq foot in luxury building",2
4f38b9a8-5d41-48b4-b0d1-ff1c81337236,Sunny 2-story Brooklyn townhouse w deck and garden,30
ecc005ab-ec29-4ba1-a6c2-09cb1c597bbc,"Times Square, Safe, Clean and Cozy!",2
6e386fb2-a5a6-41a3-b59f-8966bd6169e7,"Cozy Room #3, Landmark Home 1 Block to PRATT",2
5493fe6c-757d-4f41-a98a-2bf61c6a7552,Beautiful Apartment East Village,7
