id,neighbourhood_group,neighbourhood,latitude,longitude
01ca49f7-bf19-4364-ba27-fb686da02f97,Brooklyn,Kensington,40.64749,-73.97237
1dff6563-c256-4f70-9ed8-64d9d2d945d4,Manhattan,Midtown,40.75362,-73.98377
9608db63-fbbb-4357-8505-ad05822ac9a5,Manhattan,Harlem,40.80902,-73.9419
568f32e0-98ce-4c31-b73b-9dadfab33d64,Brooklyn,Clinton Hill,40.68514,-73.95976
a3b7f65e-bb83-4c35-bd7f-7c14c489424a,Manhattan,East Harlem,40.79851,-73.94399
9b3f4615-678e-4c5d-be1f-97ef0c850ac7,Manhattan,Murray Hill,40.74767,-73.975
78c1e91b-930f-4c48-ab14-e97cdec6ac1e,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596
c133e492-357e-43be-97a9-3686f434678c,Manhattan,Hell's Kitchen,40.76489,-73.98493
f07d3c37-6a4c-4111-a0be-a1e1f46f5116,Manhattan,Upper West Side,40.80178,-73.96723
bbc7eded-ba8e-4130-907e-47534123521b,Manhattan,Chinatown,40.71344,-73.99037
c0c3cdfe-3670-4b18-b8be-69e053d9199d,Manhattan,Upper West Side,40.80316,-73.96545
bfd3401e-9d6c-4e87-8769-d164bdd04e9b,Manhattan,Hell's Kitchen,40.76076,-73.98867
f410c655-6d42-4c1e-b022-5d97919f166f,Brooklyn,South Slope,40.66829,-73.98779
2d817963-e526-4317-8749-783ef6c9ea39,Manhattan,Upper West Side,40.79826,-73.96113
d2998c94-dd56-494f-a84d-04733eaad7d3,Manhattan,West Village,40.7353,-74.00525
af99d7ec-d97f-48b1-924a-e4c3865ed911,Brooklyn,Williamsburg,40.70837,-73.95352
b8e94c2f-ad16-4ab3-bbe0-1357360bec5d,Brooklyn,Fort Greene,40.69169,-73.97185
8f98adc7-40e9-426a-a190-1f952944d990,Manhattan,Chelsea,40.74192,-73.99501
10b65c86-b4e5-440b-825f-bd0a723ca692,Brooklyn,Crown Heights,40.67592,-73.94694
9e795bea-f18a-4801-9e7e-f2ca29869727,Manhattan,East Harlem,40.79685,-73.94872
ac4e56b8-2dd6-4a2a-8903-a3c3a4cd8c97,Brooklyn,Williamsburg,40.71842,-73.95718
eb5bb75d-dc21-4ca2-b4ef-82dda8deb300,Brooklyn,Park Slope,40.68069,-73.97706
05d98aa2-d839-4135-884e-fa61c07b7177,Brooklyn,Park Slope,40.67989,-73.97798
4094bf0b-d1c0-4239-bbdd-88211fff1702,Brooklyn,Park Slope,40.68001,-73.97865
25fb8b78-8256-410b-bf79-e034123374aa,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028
4d8c76ea-3727-4dbe-b923-b63e03f63caf,Brooklyn,Windsor Terrace,40.65599,-73.97519
a6b0ef50-bc83-48ef-9a8e-862de61ae097,Manhattan,Inwood,40.86754,-73.92639
c4529edf-2b1f-4502-83b7-d1344710c02c,Manhattan,Hell's Kitchen,40.76715,-73.98533
43114af9-d211-4793-8b2c-1e8ebf038206,Manhattan,Inwood,40.86482,-73.92106
79c7dea4-a491-4c14-b579-b0c7eeb185d1,Manhattan,East Village,40.7292,-73.98542
371d34d3-0772-4df3-99e6-15101564dc20,Manhattan,Harlem,40.82245,-73.95104
e5e2456f-f6b7-4031-bc47-7f9e6b087910,Manhattan,Harlem,40.81305,-73.95466
7aa6a27e-2c8a-478e-92d2-a898b9378d89,Brooklyn,Greenpoint,40.72219,-73.93762
2cc2cea7-be16-493c-8c08-62f69b5e287b,Manhattan,Harlem,40.8213,-73.95318
af1858e4-183e-4e6d-a34b-060793c58045,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473
87f051cb-6750-43a8-a7a8-d8934d4ea6a4,Brooklyn,South Slope,40.66869,-73.9878
2f174b0c-fefe-4370-b376-b9871fbd6b31,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312
bc1c1e11-b54c-4552-bca2-4dc50efeefef,Brooklyn,Bushwick,40.70186,-73.92745
266f620a-d3d5-4162-8ccf-635125af75ce,Brooklyn,Flatbush,40.63702,-73.96327
2eac1de3-2515-43f2-953d-942a7aaf662a,Manhattan,Lower East Side,40.71401,-73.98917
f63f5039-84ad-448c-a742-afb9bb0d1363,Manhattan,East Village,40.7229,-73.98199
c03779ea-1544-4b6a-b5a2-41813cc50c10,Brooklyn,South Slope,40.66278,-73.97966
caffc10a-213d-4b79-97e4-f8ce33daeb1a,Brooklyn,Fort Greene,40.69673,-73.97584
b93cc296-9a43-494c-826f-dd16f0c9a3d3,Manhattan,Upper West Side,40.79009,-73.97927
1f5169b8-dfa4-48fc-bbc6-9d5bfda63af5,Manhattan,Harlem,40.81175,-73.94478
f6f2e790-32fd-4e17-acac-c96e1c30d0ea,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238
5bce4d1b-d222-4eac-9477-b2a6e4cf2616,Queens,Long Island City,40.74771,-73.9474
6f2ce755-e2af-4699-9bd6-8638a5a8ab40,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591
2f6538d4-1dee-4a5c-be86-db0faa7f75b3,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409
fbf932c8-cec0-4ff0-a89f-f037ac290231,Brooklyn,Fort Greene,40.69142,-73.97376
98e3f90d-3fac-4b6f-8abc-b8c250ce4453,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934
a22cbc95-8a60-4107-843f-8461c2fab3be,Manhattan,Upper West Side,40.78635,-73.97008
ae30f8d6-dd93-427e-826b-acc00deb29a0,Brooklyn,Williamsburg,40.7042,-73.9356
7b6b7091-4dd8-4a98-9c78-3c68e3c98950,Brooklyn,Greenpoint,40.73506,-73.95392
a7b77308-405e-45a1-8c55-e498333fcbdb,Manhattan,Kips Bay,40.73961,-73.98074
f6a9ced9-3a0b-473d-bf5c-480989324f6e,Brooklyn,Williamsburg,40.70881,-73.9593
789efce8-ea10-47fd-bd32-b037fc889525,Manhattan,Lower East Side,40.72004,-73.99104
fafac93e-540f-4423-8da6-fbe8cda75baa,Manhattan,Hell's Kitchen,40.75531,-73.99293
72b0d7b6-84ec-4f91-8ada-240dbeba1d0b,Brooklyn,Greenpoint,40.72401,-73.93788
a358cbde-3acf-4977-9e90-5a2a9ac3bf75,Manhattan,SoHo,40.7221,-73.99775
e2363be6-ad02-4cf8-8fa2-14a4337ca191,Brooklyn,Williamsburg,40.71185,-73.96204
fdc5d246-6d98-451f-94a2-4ad523308517,Manhattan,Chelsea,40.74623,-73.9953
69425e3e-9c66-483c-9557-b6ad89cc248c,Manhattan,Upper East Side,40.77065,-73.95269
792d9be1-cfb2-49fe-bee9-907de25238f3,Brooklyn,Prospect Heights,40.67811,-73.96428
340b1e4f-535e-4936-a5e1-e84cea92e920,Brooklyn,Clinton Hill,40.69,-73.96788
aa5aa970-4682-47d3-b0eb-2857e55fa537,Manhattan,Hell's Kitchen,40.75979,-73.99119
ffb76463-5eca-4293-8b0d-bad429c32a4c,Brooklyn,Park Slope,40.67343,-73.98338
aec1fbbc-817a-4db8-8905-0457a752ad25,Manhattan,East Village,40.72649,-73.97904
49cc42ea-a5ed-4268-a69e-8532336bb221,Brooklyn,Williamsburg,40.70933,-73.96792
b8199894-97f2-4108-832b-969dbc6196aa,Manhattan,East Village,40.72298,-73.98474
2a9b5eab-d44c-4c42-bdae-5022add2748e,Manhattan,East Harlem,40.80164,-73.93922
75181842-6520-44a6-a445-791c8c91e9d8,Manhattan,East Village,40.72162,-73.98008
f6d2c98c-983f-4f88-9c74-d69565f82bf5,Manhattan,Hell's Kitchen,40.76342,-73.98865
6b9faa34-2322-4169-952d-f816ac7caa33,Manhattan,Washington Heights,40.83139,-73.94095
6aeee2be-dfd4-4d15-bf19-20e592990042,Brooklyn,Clinton Hill,40.68346,-73.96374
9f6eecf7-021d-4cb6-abf4-45b26febc9d8,Manhattan,East Village,40.72828,-73.98801
e0c85ac4-65be-45b2-899b-d3a236af58c5,Manhattan,Upper East Side,40.76865,-73.95058
d3fded63-8b23-440b-b434-25b15fddd140,Queens,Woodside,40.75038,-73.90334
9a4e9c6e-4d00-4841-b554-55530910cbc5,Brooklyn,Fort Greene,40.6932,-73.97267
ca33b764-25bf-4c87-a08a-d01a58366038,Manhattan,Chelsea,40.74138,-74.00197
8126f0d8-23a1-491b-a89d-9d308d27ce91,Brooklyn,Williamsburg,40.71154,-73.96112
1593d67f-178a-4af1-8326-7af5fe9e39f1,Manhattan,Harlem,40.82915,-73.95136
cc01d55f-e4f4-4233-8281-46801b543264,Manhattan,Lower East Side,40.71851,-73.98892
be9fb9d1-abab-42f9-b03b-400189964408,Brooklyn,Flatbush,40.65401,-73.96323
e3c5f6a5-39b1-47d2-8626-a08e753812d1,Manhattan,Lower East Side,40.7114,-73.98794
68b12bab-495c-4e22-83c9-fd268bef1572,Brooklyn,Brooklyn Heights,40.69723,-73.99268
a8223db5-bc36-43f0-ac9f-826bce8cd8c2,Brooklyn,Williamsburg,40.71833,-73.95748
6cec05bf-3eaf-4604-a37e-8ff0fb9bf330,Manhattan,East Village,40.72334,-73.9844
476d832b-ee62-4616-ad8e-b9a6819c1479,Manhattan,East Village,40.72912,-73.98057
343fc69c-6200-4ca5-8d48-cc4f26e1547e,Brooklyn,Williamsburg,40.71156,-73.96218
48f39b5e-36d5-46b9-9d8b-7e5a48dbb208,Brooklyn,Bushwick,40.70032,-73.9383
44b1b1d4-4de2-4afb-9bc3-0c3c0afabc2d,Brooklyn,Prospect Heights,40.68233,-73.97261
93dd0ac5-c151-4a55-9871-8d0540f6acfa,Brooklyn,Clinton Hill,40.68634,-73.966
b90cc624-2b43-4f01-bd13-a95e5a61b7cf,Brooklyn,Prospect Heights,40.68035,-73.97162
81e5bb4d-2cc3-43ec-9805-eff254d0261e,Brooklyn,Williamsburg,40.70984,-73.95775
e4e732e9-a78a-49de-839d-dc166d53de56,Brooklyn,Bushwick,40.70093,-73.92609
dce06992-5f53-4947-b0cf-e5dfdb978512,Manhattan,Upper West Side,40.79764,-73.96177
10e93f90-8812-4dfa-988d-f58418b32505,Manhattan,Harlem,40.82803,-73.94731
1061ece8-83f9-4312-9e49-15f9c800624d,Manhattan,Chelsea,40.74008,-74.00271
8a3fd24c-9d6c-485a-a847-147988f36e55,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357
84318ee6-78ac-4a7b-a3cb-88dff7180c55,Manhattan,Harlem,40.82279,-73.95139
67405343-431a-4749-bb6f-0a769e1328e1,Brooklyn,Carroll Gardens,40.67967,-74.00154
abbe6060-2c7c-4bc0-8e93-f74b2acced48,Manhattan,Washington Heights,40.83927,-73.94281
09833809-6f69-4ce4-95b6-af086364b22a,Manhattan,West Village,40.73096,-74.00319
4d088689-2c39-4864-9956-3488f80b93a4,Brooklyn,Williamsburg,40.71332,-73.94177
a2c45776-da2c-4a3b-b72d-526fd7e59a20,Brooklyn,Park Slope,40.66941,-73.98109
